,tweet,coordinates,location,language
100,"RT @TheBankova: Petro Poroshenko at the ceremony of signing the Tomos: At last, God has bestowed the Orthodox Church of Ukraine upon us htt…",,"Україна, Київ",uk
101,RT @uawire: Medical humanitarian aid from France arrives in #Donbas #Ukraine https://t.co/WxnB4rBjjI,,United States,en
102,"RT @UkraineAktiv: Tomos für die Orthodoxe Kirche der #Ukraine unterschrieben 

https://t.co/8AAjVbLSPL",,Berlin,de
103,"RT @by_Ukraine: —  Посол Украины в Турции опубликовал полный текст Томоса
https://t.co/1auMYOcAU4

#Новини #Новости #Украина #Україна #News…",,місто там же,ru
104,RT @Dialog_UA: https://t.co/DlsIEkGa8g,,Ессентуки,ru
105,RT @Biz_Ukraine_Mag: Ukrainian Orthodox independence - the latest unintended consequence of Putin’s self-defeating Ukraine War https://t.co…,,Киев,ru
106,"RT @AmazingKiev: Just a hotel in Kyiv
#Kiev #Kyiv #Ukraine https://t.co/vIKiPK7IEb",,Ukraine,en
107,RT @Korrespondent: Опубликован перевод текста подписанного Патриархом Варфоломеем Томоса о предоставлении автокефалии ПЦУ https://t.co/hePf…,,"Москва, Россия",ru
108,Ukraine: new Orthodox church gains independence from Moscow https://t.co/dUA29pRhuy,,London,en
109,"RT @mhmck: Ecumenical Patriarch Bartholomew I, the Archbishop of Constantinople, has signed the tomos of autocephaly for the Orthodox Churc…",,European Union,en
110,RT @matragrano: @bbcrussian Icon Yulia - Next President of Ukraine BY Antonio Matragrano  - Антонио Матраграно--  1.000.000 €  https://t.co…,,"Cosenza, Calabria -Italia",it
111,"Почему ""Кирилловская стоянка""/Ул.Кирилловская,Подол,Киев, Kyiv, Kiev,Ukraine,Ucrania/= старокаменная культура. Терр… https://t.co/qrGmxU4Epn",, Ukraine,ru
112,Russland und Ukraine: Patriarch von Konstantinopel erkennt Spaltung der Orthodoxen Kirche an... https://t.co/PUFlwnFxQC,,Hamburg und Berlin,de
113,Russland und Ukraine: Patriarch von Konstantinopel erkennt Spaltung der Orthodoxen Kirche an... https://t.co/srEHqS9F8z,,"Hamburg, Deutschland",de
114,"RT @asestritsyn: A truly historic day for #Ukraine. Four centuries after Russian annexation of the Ukrainian Church, it has finally been gr…",,"Україна, Київ",uk
115,RT @zn_ua: Україна мала повне право вимагати автокефалію – патріарх Варфоломій https://t.co/HMjbdyiZgo,,Ukraine,en
116,"RT @SantEgidioFr: #Ukraine un conflit oublié. Depuis plus de 4 ans, la guerre continue. Des deux côtés, des gens continuent de mourir",,"Dép.: 77,94,29",fr
117,RT @matragrano: @Gordonuacom Icon Yulia - Next President of Ukraine BY Antonio Matragrano  - Антонио Матраграно--  1.000.000 €  https://t.c…,,"Cosenza, Calabria -Italia",it
118,RT @MelvynIngleby: Epiphanius I of the Orthodox Church of #Ukraine arrives in Istanbul to receive the Tomos or letter of autonomy from the…,,"Porto,  Portugal  ",pt
119,"RT @JanPieklo: Tomos for #Ukraine, #Poland's strategic partner and neighbor. One step further towards strengthening its statehood. Sincere…",,"Україна, Київ",uk
120,У 2018 році програмами підтримки аграріїв скористалися 104 тис. домогосподарств (ВІДЕО)  https://t.co/Tyn1jPwObN,,Украина,ru
121,"RT @Stillberto: Match preview for Blackpool away. The 3 reasons I would play the kids. Uppermost, they showed they deserve it in Ukraine. h…",,London,en
122,"RT @mhmck: Ecumenical Patriarch Bartholomew I, the Archbishop of Constantinople, has signed the tomos of autocephaly for the Orthodox Churc…",,"Washington State, USA ",en
123,В Україні значно збільшилась мінімальна сума аліментів: скільки треба платити у 2019 році  https://t.co/2LaHnBOFZX,,Украина,ru
124,"RT @AlexKokcharov: History is made: #Ukraine’s Orthodox Church is becoming independent after 300+ years of #Russia|n control: 

  https://t…",,"Kraków, Polska",pl
125,.,,"Lagos, Nigeria",en
126,"RT @KyivPost: Defense Ministry: Russia prepares new armed provocations against Ukraine
  https://t.co/wNvJTvBxTB #Ukraine #Russia #defense…",,Sweden,sv
127,"RT @mhmck: Russia attacked Ukraine 3 times yesterday, January 4th, at the Vil'nyi (""Free"") farmstead at Zolote-4 (Luhansk region) and at Vo…",,"Washington State, USA ",en
128,RT @goshquiet: “Russians won’t do anything until presidential elections in Ukraine... They wait for some hypothetical pro-Russian president…,,Там де нас нема,en
129,"RT @CLevalois: En complément, cette dépêche (en anglais) de l'agence Reuters avec un  reportage photographique :  https://t.co/mdDQTfx0fn -…",,"Bucureşti, România",ro
130,"RT @EuromaidanPress: Ukraine celebrates Xmas on Jan 6 &amp; 7, according to Julian calendar. Preparations  in full swing as women of the househ…",,Україна,uk
131,"RT @AlexKokcharov: Today in Istanbul, Turkey, the Ecumenical Patriarchate of Constantinople granted the decree of independence (tomos) to #…",,Україна,uk
132,RT @TarasKuzio: Putin’s defeat as Ukraine receives a Tomos creating Orthodox Church independent of Russia. This is a reversal of imperial h…,,Україна,uk
133,RT @Kateryna_Kruk: Tomos of autocephaly to the Orthodox Church of #Ukraine. https://t.co/LT8vSgdx1M,,"Gdynia, Polska",pl
134,Canadian Ambassador to Ukraine:,,"Bosphorus, Istanbul",en
135,"RT @mhmck: Ecumenical Patriarch Bartholomew I, the Archbishop of Constantinople, has signed the tomos of autocephaly for the Orthodox Churc…",,Kyiv,en
136,"RT @WaschukCanUA: Canada’s @PaulMGrod, President of @UWCongress, joins Metropolitan @Epifaniy in Istanbul for granting of Tomos on church i…",,Montreal,en
137,"RT @olex_scherba: To all those who say about #autocephaly “why didn’t #Ukraine wait?”, “why now?” - please understand:

For centuries we Uk…",,Україна,uk
138,"RT @TatAtfender: After 333 years Ukrainian Orthodox Church regains its independence
#Tomos #Ukraine #historyinthemaking https://t.co/1JZZ3u…",,Україна,uk
139,Вручение Томоса будет скреплено сослужением со Вселенским патриархом - Епифаний https://t.co/M6FvqN5pnq,,Ukraine,ru
140,RT @segodnya_online: В Москве уже с самого утра истерика 😂 https://t.co/B1Pre6vz6k,,Украина Запорожье,uk
141,"RT @TetySt: #Tomos for #Ukraine. The signing ceremony of tomos by the Ecumenical Patriarch right now in Istanbul. 
This will be the most di…",,"Punjab, India",en-gb
142,RT @SPIEGEL_alles: Russland und Ukraine: Patriarch von Konstantinopel erkennt Spaltung der Orthodoxen Kirche an... https://t.co/srEHqS9F8z,,Ankara,tr
143,"RT @mhmck: Ecumenical Patriarch Bartholomew I, the Archbishop of Constantinople, has signed the tomos of autocephaly for the Orthodox Churc…",,yeg Canada,en
144,RT @guardian: Ukraine: new Orthodox church gains independence from Moscow https://t.co/oroOaL52NX,,Located CYYZ,en
145,"RT @asestritsyn: A truly historic day for #Ukraine. Four centuries after Russian annexation of the Ukrainian Church, it has finally been gr…",,Интернет,uk
146,"RT @KyivPost: Defense Ministry: Russia prepares new armed provocations against Ukraine
  https://t.co/wNvJTvBxTB #Ukraine #Russia #defense…",,New Delhi: India,en
147,RT @JanPieklo: BBC News - Ukraine Orthodox Church granted independence from Russian Church https://t.co/p40eg4GoPH,,Brussels,en
148,"RT @asestritsyn: A truly historic day for #Ukraine. Four centuries after Russian annexation of the Ukrainian Church, it has finally been gr…",,Perth Western Australia,en
149,"—  Во Франции ""желтые жилеты"" возобновили акции протеста
https://t.co/LMb6KkI2io

#Новини #Новости #Украина… https://t.co/5ljJK1TwiB",,Типовий Укроп™,uk
150,"RT @mhmck: Ecumenical Patriarch Bartholomew I, the Archbishop of Constantinople, has signed the tomos of autocephaly for the Orthodox Churc…",,"Dublin, Ireland ",en
